test_case,tb_timer/clock,tb_timer/reset
0,0,0
1,0,0
2,1,0
3,0,0
4,1,0
5,0,0
6,1,0
7,0,0
8,1,0
9,0,0
10,1,1
11,0,1
12,1,1
13,0,1
14,1,1
15,0,1
16,1,1
17,0,1
18,1,1
19,0,1
20,1,1
21,0,1
22,1,1
23,0,1
24,1,1
25,0,1
26,1,1
27,0,1
28,1,1
29,0,1
30,1,1
31,0,1
32,1,1
33,0,1
34,1,1
35,0,1
36,1,1
37,0,1
38,1,1
39,0,1
40,1,1
41,0,1
42,1,1
43,0,1
44,1,1
45,0,1
46,1,1
47,0,1
48,1,1
49,0,1
50,1,1
51,0,1
52,1,1
53,0,1
54,1,1
55,0,1
56,1,1
57,0,1
58,1,1
59,0,1
60,1,1
61,0,1
62,1,1
63,0,1
64,1,1
65,0,1
66,1,1
67,0,1
68,1,1
69,0,1
70,1,1
71,0,1
72,1,1
73,0,1
74,1,1
75,0,1
76,1,1
77,0,1
78,1,1
79,0,1
80,1,1
81,0,1
82,1,1
83,0,1
84,1,1
85,0,1
86,1,1
87,0,1
88,1,1
89,0,1
90,1,1
91,0,1
92,1,1
93,0,1
94,1,1
95,0,1
96,1,1
97,0,1
98,1,1
99,0,1
100,1,1
